PRODUTOS;;;;;
ID;PRODUTO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4
511875;"Pote Quadrado 1,6 l Clic - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_quadrado_1_6_l_clic_plasutil_511875_1_8bb49c1596249bc938b57ab562bc8773_20240123154212.jpg;;;
509705;Pote Quadrado 1.910 Ml - Paramount Plásticos;https://images.tcdn.com.br/img/img_prod/1265869/pote_quadrado_1_910_ml_paramount_plasticos_509705_1_21bfbb28c1c2c23af2073828768ec9be_20240123154028.jpg;;;
511879;"Pote Quadrado 2,85 l Clic - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_quadrado_2_85_l_clic_plasutil_511879_1_1c86a8307f9b11976a69a533c9c59b6b_20240123154213.jpg;;;
511741;"Pote Quadrado 3,2 l Clic - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_quadrado_3_2_l_clic_plasutil_511741_1_ba881f82ba3afbdb6be40e331f9ecade_20240123154148.jpg;;;
511883;"Pote Quadrado 3,2 l Clic - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_quadrado_3_2_l_clic_plasutil_511883_1_ba881f82ba3afbdb6be40e331f9ecade_20240123154213.jpg;;;
509707;Pote Quadrado 4.600 Ml - Paramount Plásticos;https://images.tcdn.com.br/img/img_prod/1265869/pote_quadrado_4_600_ml_paramount_plasticos_509707_1_4d4b8007dff16eb663a39e3306c193e9_20240123154028.jpg;;;
511891;"Pote Quadrado 6,6 l Clic - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_quadrado_6_6_l_clic_plasutil_511891_1_351c8aba11738f58eb2a80f295e0a626_20240123154215.jpg;;;
511745;"Pote Quadrado 6,6 l Clic- Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_quadrado_6_6_l_clic_plasutil_511745_1_351c8aba11738f58eb2a80f295e0a626_20240123154148.jpg;;;
509703;Pote Quadrado 610 Ml - Paramount Plásticos;https://images.tcdn.com.br/img/img_prod/1265869/pote_quadrado_610_ml_paramount_plasticos_509703_1_12feac86b613fb75082536d187a37311_20240123154028.jpg;;;
511897;"Pote Redondo 1,4 l Clic - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_redondo_1_4_l_clic_plasutil_511897_1_40fccb6f0df1ae1b20631f1dacadd856_20240123154216.jpg;;;
511863;"Pote Redondo 1,4 l Rosca - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_redondo_1_4_l_rosca_plasutil_511863_1_323b9fef4cb60853e46fc7ea09524550_20240123154210.jpg;;;
511867;Pote Redondo 2 l Rosca - Plasútil;https://images.tcdn.com.br/img/img_prod/1265869/pote_redondo_2_l_rosca_plasutil_511867_1_1470daeb822beae183059297faae4987_20240123154210.jpg;;;
511873;"Pote Redondo 2,1 l Rosca - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_redondo_2_1_l_rosca_plasutil_511873_1_46694bcaabd5cc5624fed861abf1af19_20240123154211.jpg;;;
511889;Pote Redondo 390 Ml Rosca - Plasútil;https://images.tcdn.com.br/img/img_prod/1265869/pote_redondo_390_ml_rosca_plasutil_511889_1_03de4a904cc7525357b0e5d2b1c83457_20240123154215.jpg;;;
511881;"Pote Redondo 4,5 l Rosca - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_redondo_4_5_l_rosca_plasutil_511881_1_5e27beb28be04ec54b6f9aea8cb42669_20240123154213.jpg;;;
511887;Pote Redondo 650 Ml Clic - Plasútil;https://images.tcdn.com.br/img/img_prod/1265869/pote_redondo_650_ml_clic_plasutil_511887_1_3a18b172e53d862ce917a44975be854f_20240123154214.jpg;;;
511877;"Pote Redondo 7,6 l Rosca - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_redondo_7_6_l_rosca_plasutil_511877_1_1e89b7e68bc003fc12c25d0106f12f27_20240123154212.jpg;;;
511893;Pote Redondo 720 Ml Rosca - Plasútil;https://images.tcdn.com.br/img/img_prod/1265869/pote_redondo_720_ml_rosca_plasutil_511893_1_eaf626a3f6182bbd9f0f30c155a2f712_20240123154215.jpg;;;
511885;Pote Redondo 900 Ml Rosca - Plasútil;https://images.tcdn.com.br/img/img_prod/1265869/pote_redondo_900_ml_rosca_plasutil_511885_1_c5fd06255756d77878a0ed160881f296_20240123154214.jpg;;;
509343;Pote Refratário Redondo Com Tampa 420ml Glass - Mor;https://images.tcdn.com.br/img/img_prod/1265869/pote_refratario_redondo_com_tampa_420ml_glass_mor_509343_1_774cc429281a246b3354cae19ff1effe_20240123153953.jpg;;;
509347;Pote Refratário Redondo Com Tampa 800ml Glass - Mor;https://images.tcdn.com.br/img/img_prod/1265869/pote_refratario_redondo_com_tampa_800ml_glass_mor_509347_1_a76683e5dd03471dfda9d23304644a72_20240123153953.jpg;;;
509359;"Pote Refratário Retangular Com Tampa 1,7 Litros Glass - Mor";https://images.tcdn.com.br/img/img_prod/1265869/pote_refratario_retangular_com_tampa_1_7_litros_glass_mor_509359_1_ead6cb67894e4fce2abb9777be2e6f1e_20240123153954.jpg;;;
509355;Pote Refratário Retangular Com Tampa 1l Mor Glass - Mor;https://images.tcdn.com.br/img/img_prod/1265869/pote_refratario_retangular_com_tampa_1l_mor_glass_mor_509355_1_d01e8076113a80a7e25f8e145a535bd3_20240123153954.jpg;;;
509351;Pote Refratário Retangular Com Tampa 800ml Glass - Mor;https://images.tcdn.com.br/img/img_prod/1265869/pote_refratario_retangular_com_tampa_800ml_glass_mor_509351_1_a1504f44512cd7d25626b9431c3e9580_20240123153954.jpg;;;
511899;"Pote Retangular 1,2 l Clic - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_retangular_1_2_l_clic_plasutil_511899_1_d357d621c6d3fc81ee87ef119b3b322d_20240123154216.jpg;;;
511905;"Pote Retangular 1,43 Clic - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_retangular_1_43_clic_plasutil_511905_1_42dcc2a5e005bb2a5f4bc0dcfe3e4803_20240123154216.jpg;;;
509715;Pote Retangular 2.400 Ml - Paramount Plásticos;https://images.tcdn.com.br/img/img_prod/1265869/pote_retangular_2_400_ml_paramount_plasticos_509715_1_0f9fd8b75da0888c8d7c1ca0855e6d35_20240123154028.jpg;;;
509717;Pote Retangular 4.950 Ml - Paramount Plásticos;https://images.tcdn.com.br/img/img_prod/1265869/pote_retangular_4_950_ml_paramount_plasticos_509717_1_9ab6130ad5fd9adb50b846ed162d794b_20240123154028.jpg;;;
509711;Pote Retangular 810 Ml - Paramount Plásticos;https://images.tcdn.com.br/img/img_prod/1265869/pote_retangular_810_ml_paramount_plasticos_509711_1_468d2f6d14e2e5e122ff74f0709d267e_20240123154028.jpg;;;
506055;"Pote Retangular Hermético Lock&amp;Amp;Stock 1,5l 23 x 17,5 x 7,6 Cm - Brinox";https://images.tcdn.com.br/img/img_prod/1265869/pote_retangular_hermetico_lockeamp_stock_1_5l_23_x_17_5_x_7_6_cm_brinox_506055_1_3b644fdae4c27f6c19c4430236f21cad_20240123153240.jpg;;;
506051;"Pote Retangular Hermético Lock&amp;Amp;Stock 1l 20,7 x 15,4 x 7 Cm - Brinox";https://images.tcdn.com.br/img/img_prod/1265869/pote_retangular_hermetico_lockeamp_stock_1l_20_7_x_15_4_x_7_cm_brinox_506051_1_4b0006348b4e00ac4a344f616afcc985_20240123153239.jpg;;;
506047;"Pote Retangular Hermético Lock&amp;Amp;Stock 370ml 15,3 x 11,2 x 5,8 Cm - Brinox";https://images.tcdn.com.br/img/img_prod/1265869/pote_retangular_hermetico_lockeamp_stock_370ml_15_3_x_11_2_x_5_8_cm_brinox_506047_1_fca256f48dd777594cefe15c74d606ed_20240123153239.jpg;;;
506049;"Pote Retangular Hermético Lock&amp;Amp;Stock 640 Ml 17,6 x 13,2 x 6,4 Cm - Brinox";https://images.tcdn.com.br/img/img_prod/1265869/pote_retangular_hermetico_lockeamp_stock_640_ml_17_6_x_13_2_x_6_4_cm_brinox_506049_1_607153b85e295ee90fd6e62dcfae88bd_20240123153239.jpg;;;
511861;Pote Rosca Decorado Alho 460ml - Plasútil;https://images.tcdn.com.br/img/img_prod/1265869/pote_rosca_decorado_alho_460ml_plasutil_511861_1_18b3bc9db5a033899717152e7b2ac71b_20240123154210.jpg;;;
511865;Pote Rosca Decorado Cebola 460ml - Plasútil;https://images.tcdn.com.br/img/img_prod/1265869/pote_rosca_decorado_cebola_460ml_plasutil_511865_1_5b196549aa55ee581c66a10baacf0aa1_20240123154210.jpg;;;
511869;Pote Rosca Decorado Tempero Verde 460ml - Plasútil;https://images.tcdn.com.br/img/img_prod/1265869/pote_rosca_decorado_tempero_verde_460ml_plasutil_511869_1_7f42bde06e7995d5be0e310f8f506a94_20240123154211.jpg;;;
509793;"Pote Slim Multiuso 2,570 Ml - Paramount Plásticos";https://images.tcdn.com.br/img/img_prod/1265869/pote_slim_multiuso_2_570_ml_paramount_plasticos_509793_1_e96d73c97417c5a331f157035e7cbca6_20240123154031.jpg;;;
509799;"Pote Slim Multiuso 4,470 Ml - Paramount Plásticos";https://images.tcdn.com.br/img/img_prod/1265869/pote_slim_multiuso_4_470_ml_paramount_plasticos_509799_1_c2ee8e9ccdfd18f156786c2ba4c0baaf_20240123154031.jpg;;;
511317;"Pote Trava Mais 1,3 l - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_trava_mais_1_3_l_plasutil_511317_1_77f688e7628116494d3b3c48f7515b1d_20240123153759.jpg;;;
511413;"Pote Trava Mais 1,3 l - Plasútil";https://images.tcdn.com.br/img/img_prod/1265869/pote_trava_mais_1_3_l_plasutil_511413_1_3fb7b7e2fc0d013bcc860aa24f0cf471_20240123153805.jpg;;;
511311;Pote Trava Mais 910 Ml - Plasútil;https://images.tcdn.com.br/img/img_prod/1265869/pote_trava_mais_910_ml_plasutil_511311_1_00936dd516e76e18250e81535fe07066_20240123153759.jpg;;;
