PRODUTOS;;;;;;
ID;PRODUTO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4;IMAGEM 5
507523;"Frigideira Reta Turim Alumínio Com Tampa Antiaderente Vermelha 22 Cm 1,7 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_reta_turim_aluminio_com_tampa_antiaderente_vermelha_22_cm_1_7_l_tramontina_507523_1_b9298a6f3ed3dce767a26e06d42fdf6c_20240123153513.jpg;;;;
507469;"Frigideira Turim Alumínio Antiaderente Vermelha 26 Cm 1,8 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_tramontina_turim_aluminio_antiaderente_vermelha_26_cm_1_8_l_tramontina_507469_1_1a3765aac73aee09a6feca501e236901_20240123153500.jpg;;;;
507487;"Frigideira Turim Em Alumínio Antiaderente Chumbo 16 Cm 0,4 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_turim_em_aluminio_antiaderente_chumbo_16_cm_0_4_l_tramontina_507487_1_5d36310142564d80be411f4f2a87e546_20240123153503.jpg;;;;
507493;"Frigideira Turim Em Alumínio Antiaderente Chumbo 20 Cm 0,8 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_turim_em_aluminio_antiaderente_chumbo_20_cm_0_8_l_tramontina_507493_1_545fa4a8d23cdbb395ef6634f58f353f_20240123153506.jpg;;;;
507497;"Frigideira Turim Em Alumínio Antiaderente Chumbo 24 Cm 1,4 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_turim_em_aluminio_antiaderente_chumbo_24_cm_1_4_l_tramontina_507497_1_04f30ce1b72df839bc15921aa32df491_20240123153507.jpg;;;;
507501;"Frigideira Turim Em Alumínio Antiaderente Chumbo 26 Cm 1,8 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_turim_em_aluminio_antiaderente_chumbo_26_cm_1_8_l_tramontina_507501_1_94548f0dacafcb744acfe4e13da7fd2c_20240123153507.jpg;;;;
507505;"Frigideira Turim Em Alumínio Antiaderente Vermelha 16 Cm 0,4 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_turim_em_aluminio_antiaderente_vermelha_16_cm_0_4_l_tramontina_507505_1_426113c640c3d559142d5e287bdf49b9_20240123153508.jpg;;;;
507507;"Frigideira Turim Em Alumínio Antiaderente Vermelha 24 Cm 1,4 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/frigideira_turim_em_aluminio_antiaderente_vermelha_24_cm_1_4_l_tramontina_507507_1_34ecf6d933db424c995f49e62a4d487b_20240123153508.jpg;;;;
505819;Fritadeira Sem Óleo 3.3L 1300W - Oster;https://images.tcdn.com.br/img/img_prod/1265869/fritadeira_sem_oleo_3_3l_1300w_oster_505819_1_058ba8941feb71e605ce93c8e23f9f9e_20240123153200.jpg;;;;
505073;Fruteira 3 Cestos Fixos - Utimil;https://images.tcdn.com.br/img/img_prod/1265869/fruteira_3_cestos_fixos_utimil_505073_1_4a0a6383b0f630c506e644ffba67f8f2_20240123153051.jpg;;;;
