PRODUTOS;;;;;
ID;PRODUTO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4
512449;1 Interruptor Simples + 1 Interruptor Paralelo Branco 16A 250V - Soprano;https://images.tcdn.com.br/img/img_prod/1265869/1_interruptor_simples_1_interruptor_paralelo_branco_16a_250v_soprano_512449_1_3b1065e13a58510cb1775a7d1981ab55_20240123154229.jpg;;;
512421;1 Interruptor Simples + 1 Tomada 10A - Soprano;https://images.tcdn.com.br/img/img_prod/1265869/1_interruptor_simples_1_tomada_10a_soprano_512421_1_df5452c9ac82890b98eff14207447225_20240123154227.png;;;
512439;1 Interruptor Simples + 1 Tomada 10A - Soprano;https://images.tcdn.com.br/img/img_prod/1265869/1_interruptor_simples_1_tomada_10a_soprano_512439_1_52e8354ff676281c5d0a5f9c9ca17c97_20240123154228.jpg;;;
512387;1 Interruptor Simples + 1 Tomada 10A 250V - Soprano;https://images.tcdn.com.br/img/img_prod/1265869/1_interruptor_simples_1_tomada_10a_250v_soprano_512387_1_40cd8442ec0c3b59aead2cb2cbb6a0a9_20240123154225.jpg;;;
512423;2 Interruptores Simples + 1 Tomada 10A - Soprano;https://images.tcdn.com.br/img/img_prod/1265869/2_interruptores_simples_1_tomada_10a_soprano_512423_1_0f612cad9ef439584e427f43bd14fce9_20240123154227.png;;;
512445;2 Interruptores Simples + 1 Tomada 10A - Soprano;https://images.tcdn.com.br/img/img_prod/1265869/2_interruptores_simples_1_tomada_10a_soprano_512445_1_2e894fcbe47105867518787a9826c91b_20240123154228.jpg;;;
512383;2 Interruptores Simples 10A 250V - Soprano;https://images.tcdn.com.br/img/img_prod/1265869/2_interruptores_simples_10a_250v_soprano_512383_1_10163ddef77e817f498b58b5dd5b9d1b_20240123154225.jpg;;;
512431;2 Interruptores Simples 10A 250V - Soprano;https://images.tcdn.com.br/img/img_prod/1265869/2_interruptores_simples_10a_250v_soprano_512431_1_bd720556897f21c7af820aa80a400f5f_20240123154227.jpg;;;
512401;2 Tomadas 10A - Soprano;https://images.tcdn.com.br/img/img_prod/1265869/2_tomadas_10a_soprano_512401_1_0cf048b22558da744be2fc9acde3b7cc_20240123154226.png;;;
512453;2 Tomadas 10A 250V Branco - Soprano;https://images.tcdn.com.br/img/img_prod/1265869/2_tomadas_10a_250v_branco_soprano_512453_1_6ceb8cfc6e5de7ae6e3a42d4f91d6ab2_20240123154229.jpg;;;
512435;3 Interruptores Simples 10A 250V - Soprano;https://images.tcdn.com.br/img/img_prod/1265869/3_interruptores_simples_10a_250v_soprano_512435_1_6546170a31f653128b18665533e6d7e2_20240123154228.jpg;;;
506243;Abafador Concha Auricular K30 - Kalipso Epi;https://images.tcdn.com.br/img/img_prod/1265869/abafador_concha_auricular_kalipso_epi_506243_1_3648488986e3d3f19a19aee2d61eebe6_20240123154302.jpg;;;
506245;Abafador Concha Auricular K40 - Kalipso Epi;https://images.tcdn.com.br/img/img_prod/1265869/abafador_concha_auricular_k40_kalipso_epi_506245_1_f029cb2d0ab3508c642699fa755c71c2_20240123154302.jpg;;;
507801;Abridor Com Saca Rolhas E Canivete Harmoniza Com Lâminas Em Aço Inox E Corpo Em Abs Preto - Tramontina;https://images.tcdn.com.br/img/img_prod/1265869/abridor_com_saca_rolhas_e_canivete_harmoniza_com_laminas_em_aco_inox_e_corpo_em_abs_preto_tramontina_507801_1_8700603d073723baba027b49fe3ec8e3_20240123153556.jpg;;;
505313;Abridor Combinado Combate - Viel;https://images.tcdn.com.br/img/img_prod/1265869/abridor_combinado_combate_viel_505313_1_f85e7e62f8be2aa01df404a6180daeb6_20240123153112.jpg;;;
505315;Abridor Combinado Inteiriço Em Aço Inox - Viel;https://images.tcdn.com.br/img/img_prod/1265869/abridor_combinado_inteirico_em_aco_inox_viel_505315_1_a35b7d572fe1ce727de8f24a4c449012_20240123153112.jpg;;;
505505;Abridor De Garrafa Reforçado Pintura Eletrostática Branca - Viel;https://images.tcdn.com.br/img/img_prod/1265869/abridor_de_garrafa_reforcado_pintura_eletrostatica_branca_viel_505505_1_2c230c351fb281a1895549fe95b686ba_20240123153131.jpg;;;
505307;Abridor Para Garrafas E Latas Profissional Aço Inox (14 Cm) - Viel;https://images.tcdn.com.br/img/img_prod/1265869/abridor_para_garrafas_e_latas_profissional_aco_inox_14_cm_viel_505307_1_4c78fb5872818205820ab4fb03b7be9b_20240123153112.jpg;;;
500593;Absorvente Higienico C/5;https://images.tcdn.com.br/img/img_prod/1265869/absorvente_higienico_c_5_500593_1_8a355f31cf8e41c0bd51a1f6382d1220_20240123154421.jpg;;;
500661;Acabamento C 39 Stander Medio P/ 1416 E 1509 - 1/2 - 3/4 E 1";https://images.tcdn.com.br/img/img_prod/1265869/acabamento_c_39_stander_medio_p_1416_e1509_1_2_3_4_e_1_500661_1_ea1f6fd3de4ebf7d715ab3673a51bb28_20240123152835.jpg;;;
508109;Açucareiro Em Aço Inox Com Colher - Tramontina;https://images.tcdn.com.br/img/img_prod/1265869/acucareiro_em_aco_inox_com_colher_tramontina_508109_1_4aaf9b70380f81cd0d71177afbe59293_20240123153734.jpg;;;
505361;Açucareiro Itaipu - Aço Inox - 600 G - Viel;https://images.tcdn.com.br/img/img_prod/1265869/acucareiro_itaipu_aco_inox_600_g_viel_505361_1_82ce948499ed240cd61a75bce76196ad_20240123153118.jpg;;;
505343;Açucareiro Monte Verde Aço Inox - 580 G;https://images.tcdn.com.br/img/img_prod/1265869/acucareiro_monte_verde_aco_inox_580_g_505343_1_374dea039fd3b8d95acdfb3ca631e892_20240123153116.jpg;;;
505337;Açucareiro Monte Verde Aço Inox 380G - Viel;https://images.tcdn.com.br/img/img_prod/1265869/acucareiro_monte_verde_aco_inox_viel_505337_1_4e66aaf030b07c0b132d2e7ff21a153f_20240123153115.jpg;;;
505353;Açucareiro Monte Verde Aço Inox 580G - Viel;https://images.tcdn.com.br/img/img_prod/1265869/acucareiro_monte_verde_aco_inox_580g_viel_505353_1_374dea039fd3b8d95acdfb3ca631e892_20240123153117.jpg;;;
512145;Adapt Int 1 Lj Cb - Amanco;https://images.tcdn.com.br/img/img_prod/1265869/adapt_int_1_lj_cb_amanco_512145_1_614c779be8c33209c8f65328d465ff4d_20240123153656.png;;;
512155;Adapt Int 1/2 Lj Cb - Amanco;https://images.tcdn.com.br/img/img_prod/1265869/adapt_int_1_2_lj_cb_amanco_512155_1_614c779be8c33209c8f65328d465ff4d_20240123153657.png;;;
512151;Adapt Int 3/4 Lj Cb - Amanco;https://images.tcdn.com.br/img/img_prod/1265869/adapt_int_3_4_lj_cb_amanco_512151_1_614c779be8c33209c8f65328d465ff4d_20240123153656.png;;;
512141;Adapt Red Int 1/2X3/8 Lj Cb - Amanco;https://images.tcdn.com.br/img/img_prod/1265869/adapt_red_int_1_2x3_8_lj_cb_amanco_512141_1_0c3f614156001c0edc2f388874077aa7_20240123153655.png;;;
512131;Adapt Red Int 1X3/4 Lj Cb - Amanco;https://images.tcdn.com.br/img/img_prod/1265869/adapt_red_int_1x3_4_lj_cb_amanco_512131_1_0c3f614156001c0edc2f388874077aa7_20240123153654.png;;;
512137;Adapt Red Int 3/4X1/2 Lj Cb - Amanco;https://images.tcdn.com.br/img/img_prod/1265869/adapt_red_int_3_4x1_2_lj_cb_amanco_512137_1_0c3f614156001c0edc2f388874077aa7_20240123153654.png;;;
503675;Adaptador Autoajustável 25Mm X 3/4" - Amanco;https://images.tcdn.com.br/img/img_prod/1265869/adaptador_autoajustavel_25mm_x_3_4_amanco_503675_1_1e22b68eb9ee17f59db1b4cb73aed179_20240123153000.jpg;;;
512025;Adaptador Autoajustável 25Mm X 3/4" - Amanco;https://images.tcdn.com.br/img/img_prod/1265869/adaptador_autoajustavel_25mm_x_3_4_amanco_512025_1_c65622b3571c7ba2f70a4b8c0fdb532e_20240123153640.jpg;;;
