PRODUTOS;;;;;;;
ID;PRODUTO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4;IMAGEM 5;IMAGEM 6
512859;Tubo De Pvc Soldável 3m 50mm - Krona;https://images.tcdn.com.br/img/img_prod/1265869/tubo_de_pvc_soldavel_3m_50mm_krona_512859_1_ad4dee17a055a8a7d0f920768fc9d811_20240123154347.jpg;;;;;
512835;Tubo De Pvc Soldável 6m 25mm - Krona;https://images.tcdn.com.br/img/img_prod/1265869/tubo_de_pvc_soldavel_6m_25mm_krona_512835_1_ad4dee17a055a8a7d0f920768fc9d811_20240123154346.jpg;;;;;
512837;Tubo De Pvc Soldável 6m 32mm - Krona;https://images.tcdn.com.br/img/img_prod/1265869/tubo_de_pvc_soldavel_6m_32mm_krona_512837_1_ad4dee17a055a8a7d0f920768fc9d811_20240123154346.jpg;;;;;
512839;Tubo De Pvc Soldável 6m 40mm - Krona;https://images.tcdn.com.br/img/img_prod/1265869/tubo_de_pvc_soldavel_6m_40mm_krona_512839_1_ad4dee17a055a8a7d0f920768fc9d811_20240123154347.jpg;;;;;
512841;Tubo De Pvc Soldável 6m 50mm - Krona;https://images.tcdn.com.br/img/img_prod/1265869/tubo_de_pvc_soldavel_6m_50mm_krona_512841_1_ad4dee17a055a8a7d0f920768fc9d811_20240123154347.jpg;;;;;
512845;Tubo De Pvc Soldável 6m 60mm - Krona;https://images.tcdn.com.br/img/img_prod/1265869/tubo_de_pvc_soldavel_6m_60mm_krona_512845_1_ad4dee17a055a8a7d0f920768fc9d811_20240123154347.jpg;;;;;
512097;Tubo Desc Valv Descarg Joelho Dn38x832mm - Amanco;https://images.tcdn.com.br/img/img_prod/1265869/tubo_desc_valv_descarg_joelho_dn38x832mm_amanco_512097_1_fa50412cff165a67f9b18c7ab272bf71_20240123153649.png;;;;;
511049;Tubo Esgoto 6m 100 Mm - Plastilit;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_6m_100_mm_plastilit_511049_1_837cbc7f5337d4a3286252aad62e40e1_20240123154322.png;;;;;
511053;Tubo Esgoto 6m 150 Mm - Plastilit;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_6m_150_mm_plastilit_511053_1_837cbc7f5337d4a3286252aad62e40e1_20240123154322.png;;;;;
511041;Tubo Esgoto 6m 40 Mm - Plastilit;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_6m_40_mm_plastilit_511041_1_837cbc7f5337d4a3286252aad62e40e1_20240123154322.png;;;;;
